x,y
2.17,5953.0
2.33,5953.0
2.17,5956.0
2.25,5955.0
2.33,5955.0
2.33,5955.0
2.08,6060.0
2.17,6060.0
2.17,5954.0
2.25,5954.0
2.25,5954.0
2.33,5954.0
2.17,5955.0
2.17,5955.0
2.25,5955.0
2.33,5955.0
2.08,5955.0
2.17,5955.0
12.25,5949.0
16.33,5949.0
11.75,5954.0
14.5,5954.0
15.67,5954.0
3.75,5955.0
2.5,6165.0
2.17,6690.0
2.17,6585.0
5.83,8869.0
2.33,10260.0
2.17,10470.0
8.0,10575.0
6.0,10838.0
14.67,12150.0
16.17,12150.0
18.0,12150.0
23.17,12150.0
24.17,12150.0
8.83,11900.0
4.5,12123.0
15.25,12123.0
11.0,12150.0
19.08,12150.0
22.83,12150.0
26.42,12150.0
17.75,12215.0
19.58,12230.0
2.33,12780.0
26.67,12885.0
15.17,12539.0
20.83,12938.0
11.42,12990.0
22.25,12990.0
26.0,12990.0
21.75,13086.0
3.83,13279.0
4.42,13279.0
7.67,13279.0
8.33,13279.0
10.42,13279.0
23.75,13673.0
19.5,13410.0
6.5,13935.0
12.42,14040.0
21.08,14040.0
26.67,14093.0
28.17,14093.0
28.25,14093.0
8.0,13767.0
9.25,13932.0
17.92,14408.0
26.42,14408.0
16.17,14250.0
7.08,14539.0
13.83,14985.0
7.58,14670.0
15.83,15195.0
2.25,15720.0
24.42,15983.0
26.0,15983.0
4.17,15720.0
4.25,15720.0
5.08,15720.0
29.33,16245.0
4.42,16613.0
17.0,16665.0
26.67,16665.0
27.17,16455.0
24.75,16665.0
5.75,17348.0
7.58,17348.0
12.75,17348.0
13.75,17348.0
17.83,17348.0
5.5,17400.0
19.5,17505.0
7.58,17610.0
23.83,17295.0
5.0,17663.0
26.5,18030.0
20.83,18398.0
12.83,18450.0
8.92,18487.0
6.0,18923.0
11.17,18923.0
12.17,18923.0
15.58,19238.0
15.75,19920.0
7.92,19710.0
13.25,19710.0
16.0,20130.0
22.75,19815.0
6.0,21075.0
6.33,21111.0
7.25,23206.0
30.08,24540.0
11.0,25800.0
18.25,27270.0
6.08,29580.0
2.25,5953.0
2.33,5953.0
2.08,5955.0
2.17,5955.0
2.25,5955.0
2.33,5955.0
2.33,5955.0
2.17,6060.0
2.17,5954.0
2.25,5954.0
2.25,5954.0
2.25,5954.0
2.33,5954.0
2.33,5954.0
2.17,5955.0
2.17,5955.0
2.17,5955.0
2.25,5955.0
2.25,5955.0
2.25,5955.0
2.33,5955.0
2.33,5955.0
2.5,5955.0
2.17,5956.0
2.0,5955.0
2.08,5955.0
2.17,5955.0
2.17,5955.0
2.25,5955.0
12.25,5949.0
16.33,5949.0
12.33,5954.0
12.33,5954.0
3.5,5955.0
3.75,5955.0
2.25,6375.0
2.17,7530.0
2.17,7530.0
2.33,7530.0
15.17,7419.0
2.17,7845.0
10.25,8396.0
4.5,8869.0
15.25,9183.0
7.25,9840.0
14.17,9840.0
15.75,9840.0
25.58,10566.0
6.33,10303.0
4.08,10523.0
9.75,10523.0
26.42,11048.0
4.42,10838.0
8.33,10838.0
10.42,10838.0
6.67,11100.0
8.0,11326.0
9.67,11678.0
12.42,12150.0
14.67,12150.0
16.17,12150.0
24.17,12150.0
3.83,11814.0
7.67,11814.0
10.08,11900.0
12.58,12308.0
4.42,12570.0
23.17,12570.0
7.0,12623.0
8.25,12623.0
15.5,12623.0
7.25,12298.0
10.17,12302.0
23.5,12465.0
18.0,12990.0
13.25,12675.0
25.75,12850.0
11.42,12990.0
11.5,12990.0
16.17,12990.0
19.5,12990.0
21.42,12990.0
14.25,13069.0
7.75,13321.0
5.33,13673.0
21.08,13830.0
5.75,14093.0
12.17,14093.0
13.75,14093.0
15.83,13830.0
11.75,14129.0
11.17,14513.0
12.75,14513.0
5.67,14250.0
15.17,14409.0
4.75,14487.0
6.0,14933.0
7.58,14933.0
7.92,15038.0
15.58,15353.0
17.83,15353.0
19.33,15353.0
26.0,15353.0
28.25,15353.0
7.08,15117.0
26.0,15195.0
5.08,15232.0
6.25,15510.0
4.17,15720.0
4.25,15720.0
10.33,15720.0
13.25,16035.0
9.08,16560.0
15.42,16560.0
8.0,16823.0
24.42,17348.0
26.67,17348.0
9.25,17136.0
23.83,18135.0
27.17,18135.0
5.0,19343.0
26.67,19553.0
6.5,19815.0
4.83,20445.0
25.83,21180.0
8.92,22335.0
7.5,23281.0
8.83,23281.0
27.58,24488.0
8.0,24855.0
28.42,25905.0
13.83,29160.0
6.42,29580.0
2.25,5953.0
2.33,5953.0
2.33,5953.0
2.08,5955.0
2.25,5955.0
2.33,5955.0
2.17,5954.0
2.25,5954.0
2.33,5954.0
2.33,5954.0
2.17,5955.0
2.25,5955.0
2.33,5955.0
2.5,5955.0
2.17,5956.0
2.08,5955.0
2.17,5955.0
2.17,5955.0
2.25,5955.0
12.33,5954.0
15.75,5954.0
3.75,5955.0
2.17,6375.0
2.17,6060.0
13.25,6270.0
2.25,6690.0
2.25,6532.0
2.25,6532.0
2.33,7005.0
2.0,6795.0
2.25,7110.0
10.25,7420.0
5.0,7583.0
2.17,7845.0
2.17,8055.0
2.17,8370.0
2.25,8370.0
2.17,9525.0
25.58,9988.0
12.25,9840.0
24.58,9988.0
6.0,10523.0
15.5,11048.0
15.25,10759.0
24.75,10785.0
14.25,10863.0
10.42,10943.0
17.92,11415.0
20.83,11415.0
26.42,11415.0
4.42,11326.0
8.33,11326.0
20.83,11468.0
12.58,12098.0
24.17,12150.0
4.5,11809.0
3.83,11814.0
7.67,11814.0
16.5,11900.0
4.83,11993.0
25.75,12010.0
11.0,12045.0
15.17,12045.0
11.33,12150.0
23.83,12150.0
26.42,12150.0
4.75,12229.0
5.33,12623.0
24.83,12298.0
2.17,12780.0
14.92,12465.0
26.67,12885.0
5.33,12570.0
10.33,12570.0
15.17,12990.0
23.75,13410.0
5.08,13069.0
7.08,13069.0
26.08,13086.0
23.17,13515.0
4.25,13200.0
5.42,13279.0
8.0,13515.0
12.42,14040.0
24.42,14040.0
26.0,14040.0
5.08,13767.0
4.42,14565.0
15.75,14565.0
26.67,14565.0
28.5,14565.0
11.75,14235.0
19.5,14250.0
8.25,14618.0
14.67,14775.0
26.67,14775.0
28.25,14775.0
8.0,14744.0
13.75,15353.0
27.33,15353.0
28.42,15405.0
16.17,15090.0
8.67,15232.0
10.17,15232.0
2.17,15720.0
2.33,15720.0
30.08,15405.0
2.25,15720.0
4.17,15720.0
9.25,15720.0
20.42,15825.0
24.83,15825.0
29.33,16245.0
20.08,16665.0
12.75,16718.0
8.0,16823.0
21.08,17190.0
8.92,16859.0
15.58,17243.0
12.17,17348.0
7.5,17136.0
9.75,17295.0
17.83,17978.0
18.0,18030.0
18.25,18135.0
13.25,18135.0
11.17,18713.0
7.92,19238.0
15.25,19605.0
19.08,19605.0
7.58,19920.0
7.58,21233.0
27.58,21285.0
6.33,21899.0
22.83,22755.0
6.0,23228.0
4.83,22965.0
11.33,23070.0
5.92,23491.0
20.58,24225.0
26.17,24225.0
6.25,24435.0
25.83,25223.0
27.17,26325.0
23.83,27165.0
6.42,29580.0
8.92,31260.0
2.17,5953.0
2.25,5953.0
2.33,5953.0
2.33,5953.0
2.33,5953.0
2.33,5953.0
2.17,5955.0
2.17,5955.0
2.17,5955.0
2.25,5955.0
2.25,5955.0
2.33,5955.0
2.33,5955.0
2.08,6060.0
2.17,6060.0
2.25,5954.0
2.25,5954.0
2.25,5954.0
2.25,5954.0
2.33,5954.0
2.33,5954.0
2.17,5955.0
2.17,5955.0
2.17,5955.0
2.17,5955.0
2.25,5955.0
2.25,5955.0
2.25,5955.0
2.25,5955.0
2.33,5955.0
2.5,5955.0
2.0,5955.0
2.08,5955.0
2.17,5955.0
