x,y
1.2,7.3
13.69,43.3
0.95,10.14
1.24,7.8
1.1,8.3
1.9,15.05
0.0,18.8
0.66,6.3
1.72,10.38
1.37,8.8
2.14,15.7
0.01,13.3
7.74,57.3
25.08,73.35
0.0,7.3
0.0,9.49
11.4,49.85
9.08,38.85
1.4,7.8
5.76,24.96
5.69,24.55
5.65,17.8
3.27,14.3
1.04,7.3
5.63,14.3
9.81,29.8
3.25,17.65
1.12,8.16
2.58,14.55
2.19,10.3
10.13,36.36
3.5,14.8
2.96,14.05
0.31,4.8
0.79,7.3
2.71,14.3
1.94,12.8
4.6,16.8
0.0,20.3
0.82,6.3
7.42,23.3
4.96,17.8
8.28,28.3
8.45,26.3
1.11,8.76
13.16,46.8
3.16,10.0
23.12,98.85
0.0,3.8
1.15,7.3
0.0,7.6
8.25,25.8
19.99,59.35
2.76,12.8
0.0,11.0
5.0,24.05
0.0,3.8
1.4,10.75
7.71,25.3
8.46,38.46
30.59,89.85
33.82,115.44
2.47,10.3
21.33,80.85
1.59,7.8
0.96,7.56
1.67,9.96
6.79,26.3
2.31,10.8
0.0,25.0
15.63,59.35
0.03,12.8
17.64,64.85
4.12,15.8
9.0,36.0
15.89,54.85
18.8,64.35
0.03,52.8
2.77,16.86
6.39,30.06
0.0,16.0
7.14,25.55
4.04,17.3
4.37,25.0
3.63,12.8
1.9,10.55
1.0,5.3
0.5,4.8
1.4,7.8
4.3,21.05
5.47,39.85
20.57,78.4
5.71,18.81
10.0,44.3
0.06,52.8
19.73,70.85
17.54,69.35
0.21,-12.8
0.21,12.8
2.5,16.31
2.6,17.46
6.46,23.3
1.75,10.56
1.6,7.3
4.0,20.55
2.46,11.3
0.0,52.55
11.79,39.96
1.7,9.3
1.33,7.3
1.59,8.8
0.91,8.16
3.68,21.31
2.15,10.3
17.8,57.35
19.68,67.35
3.07,12.8
3.12,17.29
0.87,6.3
2.56,14.55
0.72,5.8
1.38,11.0
3.21,16.44
1.67,9.3
1.68,11.62
3.6,21.66
3.44,22.05
1.25,9.36
10.55,46.8
0.0,35.55
2.9,15.05
4.51,23.46
5.7,18.3
3.21,19.55
0.0,51.55
1.12,8.16
1.03,7.3
0.73,5.3
0.03,3.3
2.26,10.3
0.0,14.0
1.4,8.8
1.7,8.3
3.2,19.26
0.0,13.3
2.8,14.75
1.58,11.76
0.0,21.0
2.52,11.3
22.65,71.85
3.36,21.66
1.53,9.8
1.68,9.96
6.92,35.69
1.29,9.36
1.36,7.8
1.32,7.82
1.33,8.3
2.2,18.81
1.33,9.96
1.57,7.8
1.6,9.95
1.27,8.3
3.74,17.55
2.22,16.31
1.29,6.3
0.86,6.8
1.7,9.8
1.0,5.3
1.6,10.14
2.27,15.66
1.8,9.8
3.9,17.55
0.0,14.0
12.41,60.8
1.8,10.3
1.34,6.8
1.01,7.3
14.11,58.8
4.06,26.07
0.94,6.8
3.89,16.8
4.8,20.55
0.91,8.16
1.17,6.8
2.36,11.8
5.93,21.3
4.73,24.05
3.57,24.11
0.0,17.0
1.4,10.55
0.0,11.8
5.07,19.8
1.4,9.75
1.78,15.01
2.34,11.3
1.73,11.3
2.56,15.96
5.6,28.81
1.71,10.3
2.41,16.26
0.0,5.3
3.8,23.0
3.07,17.05
2.47,11.8
8.81,41.8
0.0,23.0
1.29,11.62
1.1,10.38
0.99,9.55
1.1,7.3
7.77,36.63
0.81,6.3
2.39,14.16
8.33,31.05
1.1,9.63
1.14,12.06
0.91,14.46
5.08,25.05
1.26,12.66
5.97,21.3
1.21,6.8
0.72,8.05
0.0,43.55
2.83,15.46
1.44,11.0
1.09,8.8
4.6,19.3
8.0,33.55
3.35,19.86
3.7,13.8
1.76,11.76
